"","x"
"8",28.8877320939629
"10",29.6475949447512
"25",38.5078589175893
"28",31.8536091557972
"37",31.3139003735769
"39",33.879256445826
"40",33.5128242095742
"53",32.561969503346
"66",30.5148691972495
"67",31.0726152517985
"72",39.5045891320394
"80",42.6981072182051
"81",40.5184348051249
"82",41.5027586159112
"83",43.2075382335195
"86",48.0614587402363
"88",43.5433602769226
"91",43.9150786096196
"95",43.0107546312735
"98",35.496145587895
"100",32.4936452613845
"101",30.7443297746833
"126",34.3316358087015
"131",30.9367506114258
"139",41.8082563105885
"147",53.2497294086121
"157",50.0488444363752
"164",45.4924943461917
"167",40.3494036133799
"177",31.541104869747
"185",37.3261771356705
"188",35.9147143498774
"197",39.6640345618482
"199",44.3543969557913
"203",35.0257228257333
"206",35.4360363303173
"207",34.2100833296386
"213",31.6247998919733
"222",33.1988458594624
"227",31.9746793201667
"229",30.701438848917
"232",31.5462887951319
"234",33.1822170534725
"238",34.8575886863675
"239",35.6071592743812
"240",36.1539127467694
"251",33.4048315136715
"264",32.7077802987528
"266",30.5933746912128
"270",32.1804106776072
"275",40.5930718907314
"279",39.7614424384907
"281",38.3455872227791
"296",35.6565194743155
"298",36.2215405721027
"307",34.8588602544499
"309",34.0691132634059
"314",33.4364754276116
"321",38.7264136882801
"334",34.445135275967
"338",32.313090250818
"339",31.75905802757
"342",38.5439118131294
"360",35.4381417472952
"366",31.2941423997481
"367",36.3474024766975
"371",30.7974453617324
"374",30.2632862362551
"380",30.7590144611869
"385",29.108974772249
"395",35.62258939442
"406",34.5093576463804
"414",32.0096006563051
"416",35.3565215753506
"443",41.8204681307581
"449",39.1553989608932
"450",37.5674521461586
"453",32.8571626113124
"465",32.4580059246663
"480",40.679173095119
"485",37.891416703965
"493",35.5354638032542
"502",33.5136384329708
"506",31.7327231035262
"507",33.1007405940119
"510",34.2633439631436
"511",38.7253636079987
"517",36.7075907682139
"524",41.2004326621675
"530",38.7744129520367
"532",39.2065932249385
"551",45.9110905500132
"555",50.8567772025202
"568",52.1922155776238
"576",37.2642158851351
"580",34.1592737432143
"582",32.5338380065682
"592",33.9345908431377
"604",40.9753369302565
"605",42.3547655648745
"607",44.2101447340907
"610",37.144363382638
"612",35.0340809819037
"615",36.1861455872718
"618",34.6261716643081
"619",36.5696904753183
"624",37.9322424475689
"638",49.5184975251403
"639",48.4861715917426
"640",47.7571678058458
"644",43.1833485481107
"649",41.4444945988261
"652",40.4842405354863
"657",41.9095154681924
"668",38.5160629034836
"675",42.0891991022747
"676",42.8934356850152
"678",40.7681304187521
"679",40.0893242126549
"681",40.1714322324822
"685",44.6567142264914
"686",44.9316935703769
"692",42.1670985416678
"696",47.894266384437
"700",47.8624485986907
"704",49.4047454873877
"709",45.374259004876
"711",43.2792219599319
"714",44.6611343445289
"729",51.2076856873205
"733",50.8663657603987
"735",46.7224252813005
"738",50.0769816415037
"739",50.5222690312768
"741",51.5780499171345
"747",46.0683894397218
"748",48.3742764095615
"757",50.2990119242728
"766",42.5667648578746
"767",41.7930217527053
"770",47.4899737145836
"771",44.4702519225952
"787",47.0431931959512
"806",48.0354821934257
"812",49.0110470983003
"814",48.8255278504321
"817",50.133228971379
"836",45.8982686593315
"839",45.7374112712038
"846",44.3145814277433
"848",41.4786476791066
"849",41.9873213760284
"850",41.8970043963523
"857",41.921497811358
"861",47.3935085525107
"862",48.0314885269197
"868",49.8802779802123
"869",47.6175300079017
"880",45.9825617020904
"882",46.125767677203
"884",46.4106511763314
"886",47.8765837237855
"892",44.1742864887472
"893",44.6523385164125
"895",44.669228739383
"896",46.2634172457113
"897",47.8680479143843
"898",49.2066551589961
"906",39.4861363585087
"909",38.2196424313401
"914",41.9782160541771
"928",42.6973951605344
"932",44.6469097936747
"938",45.7841715836573
"940",42.0516777461029
"941",42.3299907597801
"943",41.1193114054646
"945",41.234818699321
"953",44.4601295971366
"959",42.6193732901773
"965",44.1076046521229
"967",44.2343652686587
"968",45.3303783828013
"976",44.2706015628449
"979",42.4682069228019
"981",42.7638135106639
"983",39.799631367401
"984",39.9492328811079
"985",38.3493647977742
"992",43.9263170227903
"993",43.7215021621197
"997",46.4001192932409
"1004",38.7762146791921
"1015",42.0229059195311
"1020",48.5970240959596
"1023",48.5546856586684
"1025",47.458727789968
"1029",44.409201424854
"1034",39.3145466423369
"1037",38.4851462682573
"1038",39.4705520211696
"1041",39.5460050303397
